type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description
TV Show;Downton Abbey;null;"""Hugh Bonneville, Jessica Brown Findlay, Samantha Bond, Laura Carmichael, Jim Carter, Raquel Cassidy, Brendan Coyle, Tom Cullen, Michelle Dockery, Kevin Doyle, Siobhan Finneran, Michael Fox, Joanne Froggatt, Matthew Goode, Harry Hadden-Paton, Thomas Howes, Lily James, Rob James-Collier, Rose Leslie, Phyllis Logan, Elizabeth McGovern, Sophie McShera, Lesley Nicol, Maggie Smith, Penelope Wilton""";United Kingdom;"""June 2, 2021""";2015;TV-14;6 Seasons;"""British TV Shows, International TV Shows, TV Dramas""";"""Exposing the snobbery and machinations of a vanishing class system, this series chronicles events in the lives of the Crawley family and their servants."""
Movie;Incarnate;Brad Peyton;"""Aaron Eckhart, Carice van Houten, Catalina Sandino Moreno, David Mazouz, Keir O'Donnell, Matt Nable, Emily Jackson, Paul Vincent O'Connor, Natalija Nogulich, John Pirruccello, Mark Steger, Emjay Anthony, Karolina Wydra""";United States;"""December 16, 2020""";2016;PG-13;87 min;"""Horror Movies, Thrillers""";An unconventional demon hunter faces his greatest challenge when he steps inside the subconscious mind of a boy possessed by a powerful entity.
Movie;Inception;Christopher Nolan;"""Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy, Ken Watanabe, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas""";"""United States, United Kingdom""";"""August 1, 2021""";2010;PG-13;148 min;"""Action & Adventure, Sci-Fi & Fantasy, Thrillers""";A troubled thief who extracts secrets from people's dreams takes one last job: leading a dangerous mission to plant an idea in a target's subconscious.
Movie;Initial D;"""Andrew Lau Wai-keung, Alan Mak""";"""Jay Chou, Anne Suzuki, Edison Chen, Anthony Wong Chau-sang, Shawn Yue, Chapman To, Jordan Chan, Kenny Bee""";"""China, Hong Kong""";"""September 1, 2021""";2005;TV-14;109 min;"""Action & Adventure, International Movies""";"""By day, an 18-year-old delivers tofu for his father, a retired race car driver"
Movie;Insidious;James Wan;"""Patrick Wilson, Rose Byrne, Lin Shaye, Ty Simpkins, Barbara Hershey, Leigh Whannell, Angus Sampson, Andrew Astor, Joseph Bishara""";"""United States, Canada""";"""April 1, 2021""";2010;PG-13;103 min;"""Horror Movies, Thrillers""";"""A family moves into a new home, where their son falls into a coma and eerie events begin to reveal something far more sinister is lurking in the house."""
Movie;Into the Grizzly Maze;David Hackl;"""James Marsden, Thomas Jane, Billy Bob Thornton, Piper Perabo, Scott Glenn, Michaela McManus, Adam Beach, Kelly Curran""";"""United States, Canada""";"""April 1, 2021""";2015;R;90 min;"""Action & Adventure, Horror Movies""";Estranged brothers Beckett and Rowan reunite in the Alaskan wild to confront a savage grizzly bear wreaking havoc on their hometown.
TV Show;Ouran High School Host Club;Takuya Igarashi;"""Maaya Sakamoto, Mamoru Miyano, Masaya Matsukaze, Kenichi Suzumura, Keisuke Oda, Ayaka Saito, Daisuke Kirii""";Japan;"""June 2, 2021""";2006;TV-PG;1 Season;"""Anime Series, Romantic TV Shows, Teen TV Shows""";"""New student Haruhi stumbles on the Ouran High School Host Club, an all-male group that makes money by entertaining the girls of the school."""
Movie;InuYasha the Movie: Affections Touching Across Time;Toshiya Shinohara;"""Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki""";Japan;"""September 15, 2021""";2001;TV-PG;100 min;"""Action & Adventure, Anime Features, International Movies""";"""A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy."""
Movie;Isa Pa with Feelings;Prime Cruz;"""Maine Mendoza, Carlo Aquino, Lotlot De Leon, Cris Villanueva, Nikki Valdez, Vangie Labalan, Geleen Eugenio""";Philippines;"""December 25, 2020""";2019;TV-G;102 min;"""International Movies, Romantic Movies""";"""When an aspiring architect falls for her Deaf neighbor, they develop a connection and set out to form their own love language despite their differences."""
TV Show;Dirty John;null;"""Connie Britton, Eric Bana, Juno Temple, Julia Garner, Jean Smart, Keiko Agena, Jeff Perry, Kevin Zegers, Jake Abel""";United States;"""May 31, 2021""";2020;TV-MA;2 Seasons;"""Crime TV Shows, TV Dramas, TV Mysteries""";Businesswoman Debra Newell's life unravels when she falls for the lies and manipulation of con man John Meehan. Based on the true-crime podcast.
Movie;Just The Way You Are;Theodore Boborol;"""Enrique Gil, Liza Soberano, Yves Flores, Sue Ramirez, Erin Ocampo, Yayo Aguila, Alex Diaz, Jon Lucas, Chienna Filomeno, Marco Gumabao, Myrtle Sarrosa, Kyra Custodio, Miguel Vergara, Tonton Gutierrez, Ricky Davao, Sunshine Cruz""";Philippines;"""December 10, 2020""";2016;TV-G;107 min;"""International Movies, Romantic Movies""";An overconfident teen bets he can make a homely transfer student fall in love with him in 30 days — but the wager starts to play games with his heart.
Movie;Kaali Khuhi;Terrie Samundra;"""Shabana Azmi, Leela Samson, Sanjeeda Sheikh, Satyadeep Misra, Riva Arora, Hetvi Bhanushali, Rose Rathod""";India;"""October 30, 2020""";2020;TV-14;91 min;"""Horror Movies, International Movies""";"""When a restless spirit curses a village that has a history of female infanticide, the town's fate lies in the hands of a 10-year-old girl."""
TV Show;JoJo's Bizarre Adventure;null;"""Kazuyuki Okitsu, Tomokazu Sugita, Daisuke Ono, Unsho Ishizuka, Kensho Ono, Takehito Koyasu, Yoku Shioya, Yoji Ueda, Ayako Kawasumi, Takuya Sato, Atsuko Tanaka, Atsushi Imaruoka, Daisuke Hirakawa, Fuminori Komatsu, Kenta Miyake, Misato Fukuen, Yuki Kaji, Wataru Takagi, Takahiro Sakurai, Yuichi Nakamura, Junichi Suwabe, Kohsuke Toriumi, Daiki Yamashita, Junya Enoki""";Japan;"""May 26, 2021""";2016;TV-MA;3 Seasons;"""Anime Series, International TV Shows""";Multiple generations of the Joestar family – all with the same nickname – confront supernatural villains through a series of time periods.
TV Show;Master of None;null;"""Aziz Ansari, Noël Wells, Eric Wareheim, Lena Waithe, Kelvin Yu, Fatima Ansari, Shoukath Ansari, Alessandra Mastronardi, Bobby Cannavale""";United States;"""May 23, 2021""";2021;TV-MA;3 Seasons;"""TV Comedies, TV Dramas""";Dev tries to jump-start his acting career and elevate his dating game with help from his eclectic group of friends in this award-winning series.
Movie;Kingsglaive: Final Fantasy XV;Takeshi Nozue;"""Aaron Paul, Lena Headey, Sean Bean, Adrian Bouchet, Liam Mulvey, Alexa Kahn, Todd Haberkorn, John DeMita, David Gant, Darin De Paul""";"""Japan, United States""";"""April 1, 2021""";2016;PG-13;116 min;"""Action & Adventure, Sci-Fi & Fantasy""";King Regis of Lucis orders his Kingsglaive warriors to stop the army of Niflheim before it invades and steals the crystal that gives Lucis its power.
TV Show;Jurassic World Camp Cretaceous;null;"""Paul-Mikél Williams, Jenna Ortega, Sean Giambrone, Kausar Mohammed, Ryan Potter, Raini Rodriguez, Jameela Jamil, Glen Powell""";United States;"""May 21, 2021""";2021;TV-Y7;3 Seasons;"""Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy""";Six teens invited to attend a state-of-the-art adventure camp on Isla Nublar must band together to survive when the dinosaurs break out of captivity.
TV Show;The Neighbor;null;"""Quim Gutiérrez, Clara Lago, Adrián Pino, Catelina Sopelana""";Spain;"""May 21, 2021""";2021;TV-MA;2 Seasons;"""International TV Shows, Spanish-Language TV Shows, TV Comedies""";Self-centered Javier's life gets a bit messy when he unexpectedly becomes a superhero – and his recent ex is tasked with uncovering his identity.
Movie;Kung Fu Panda;"""John Stevenson, Mark Osborne""";"""Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane, Seth Rogen, Lucy Liu, Jackie Chan, David Cross, Randall Duk Kim, James Hong""";"""United States, China""";"""July 1, 2021""";2008;PG;94 min;"""Children & Family Movies, Comedies""";"""When a powerful villain comes after peace in his valley, a lazy panda rises to the challenge to realize his destiny and become a kung fu warrior."""
TV Show;Haunted;null;null;"""United States, Czech Republic""";"""May 14, 2021""";2021;TV-MA;3 Seasons;"""Reality TV, TV Horror, TV Thrillers""";"""Real people sit down with friends and family to share terrifying true stories from their past, re-created through chilling re-enactments."""
TV Show;"""Love, Death & Robots""";null;"""Topher Grace, Mary Elizabeth Winstead, Gary Cole, Samira Wiley, Daisuke Tsuji, Maurice LaMarche, Rebecca Riedy, Helen Sadler, Hayley McLaughlin, Time Winters, Elly Condron, Stefan Kapicic, Bruce Thomas, Jeff Berg, Aaron Himelstein, Carlos Alazraqui, Jill Talley, Brian Bloom, Chris Cox, Michael Benyaer, Fred Tatasciore, Scott Whyte, Josh Brener, Gary Anthony Williams, Chris Parnell, Graham Hamilton, Adam Bartley, Kevin Michael Richardson, Emma Thornett, Henry Douthwaite, Madeleine Knight, Rebecca Banatvala, Kirk Thornton, Yuri Lowenthal, Elaine Tan, Matthew Yang King, Gwendoline Yeo, Neil Kaplan, G.K. Bowes, Courtenay Taylor""";United States;"""May 14, 2021""";2021;TV-MA;2 Seasons;"""TV Action & Adventure, TV Horror, TV Sci-Fi & Fantasy""";"""Terrifying creatures, wicked surprises and dark comedy converge in this NSFW anthology of animated stories presented by Tim Miller and David Fincher."""
Movie;Layer Cake;Matthew Vaughn;"""Daniel Craig, Colm Meaney, Kenneth Cranham, Sienna Miller, Tom Hardy, Michael Gambon, George Harris, Jamie Foreman, Marcel Iures, Ben Whishaw, Tamer Hassan""";United Kingdom;"""May 13, 2021""";2004;R;105 min;"""Independent Movies, International Movies, Thrillers""";"""A suave, steely-eyed London cocaine dealer's retirement plans hit a violent snag when his boss asks him to do one more job."""
TV Show;Castlevania;null;"""Richard Armitage, James Callis, Graham McTavish, Alejandra Reynoso, Tony Amendola, Matt Frewer, Emily Swallow""";United States;"""May 13, 2021""";2021;TV-MA;4 Seasons;"""Anime Series, TV Horror, TV Thrillers""";A vampire hunter fights to save a besieged city from an army of otherworldly beasts controlled by Dracula himself. Inspired by the classic video games.
Movie;Legally Blonde;Robert Luketic;"""Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis, Victor Garber, Jennifer Coolidge""";United States;"""April 1, 2021""";2001;PG-13;96 min;"""Comedies, Romantic Movies""";"""When dazzling L.A. sorority girl Elle Woods gets dumped by her snobby boyfriend, she decides to win him back by following him to Harvard Law School."""
Movie;Letters to Juliet;Gary Winick;"""Amanda Seyfried, Christopher Egan, Gael García Bernal, Vanessa Redgrave, Franco Nero, Luisa Ranieri, Marina Massironi, Milena Vukotic, Marcia DeBonis, Luisa De Santis, Lidia Biondi, Giordano Formenti, Chris Egan""";United States;"""September 1, 2021""";2010;PG;105 min;"""Comedies, Dramas, Romantic Movies""";"""By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance."""
Movie;Level 16;Danishka Esterhazy;"""Katie Douglas, Celina Martin, Peter Outerbridge, Sara Canning, Alexis Whelan, Amalia Williamson, Josette Halpert, Kiana Madeira""";Canada;"""September 1, 2021""";2018;TV-14;102 min;"""Sci-Fi & Fantasy, Thrillers""";"""In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape."""
Movie;Life as We Know It;Greg Berlanti;"""Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett, Brynn Clagett, Brooke Clagett, Hayes MacArthur, Christina Hendricks, Sarah Burns, Jessica St. Clair""";United States;"""July 1, 2021""";2010;PG-13;115 min;"""Comedies, Dramas, Romantic Movies""";"""Holly and Eric discover reciprocal hatred during their first date, but must put their feelings aside after becoming guardians of their friends' baby."""
TV Show;Jupiter's Legacy;null;"""Josh Duhamel, Ben Daniels, Leslie Bibb, Andrew Horton, Elena Kampouris, Matt Lanter, Mike Wade, Tenika Davis, Ian Quinlan, David Julian Hirsh, Tyler Mane""";United States;"""May 7, 2021""";2021;TV-MA;1 Season;"""TV Action & Adventure, TV Sci-Fi & Fantasy""";"""They're the first generation of superheroes. But as they pass the torch to their children, tensions are rising — and the old rules no longer apply."""
Movie;Like Crazy;Drake Doremus;"""Anton Yelchin, Felicity Jones, Jennifer Lawrence, Charlie Bewley, Alex Kingston, Oliver Muirhead, Finola Hughes, Chris Messina, Ben York Jones, Jamie Thomas King""";United States;"""August 19, 2021""";2011;PG-13;91 min;"""Dramas, Independent Movies, Romantic Movies""";A spirited exchange student and an American man fall in love in LA. But their romance faces an uphill battle when she is forced to return to England.
TV Show;The Sons of Sam: A Descent into Darkness;Joshua Zeman;null;United States;"""May 5, 2021""";2021;TV-MA;1 Season;"""Crime TV Shows, Docuseries""";"""The Son of Sam case grew into a lifelong obsession for journalist Maury Terry, who became convinced that the murders were linked to a satanic cult."""
TV Show;StartUp;null;"""Adam Brody, Edi Gathegi, Otmara Marrero, Martin Freeman, Ron Perlman, Addison Timlin, Mira Sorvino""";United States;"""May 4, 2021""";2018;TV-MA;3 Seasons;"""Crime TV Shows, TV Dramas""";An attempt to launder stolen money finances a cryptocurrency that puts entrepreneurs in business with a corrupt FBI agent and a Miami gang.
Movie;Love Don't Cost a Thing;Troy Byer;"""Nick Cannon, Christina Milian, Kenan Thompson, Kal Penn, Steve Harvey, Al Thompson, Ashley Monique Clark, Elimu Nelson, Nichole Robinson, Melissa Schuman""";United States;"""September 1, 2021""";2003;PG-13;101 min;"""Comedies, Romantic Movies""";A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.
Movie;Love Is a Story;Cristina Jacob;"""Raluca Aprodu, Dragoș Bucur, Ducu Darie""";Romania;"""June 21, 2021""";2015;TV-MA;105 min;"""International Movies, Music & Musicals, Romantic Movies""";"""Two young artists, a violin player and an actress, fight to achieve their dreams and keep their relationship together during Christmastime."""
Movie;Made You Look: A True Story About Fake Art;Barry Avrich;null;Canada;"""February 23, 2021""";2020;TV-14;90 min;"""Documentaries, International Movies""";"""A woman walks into a New York gallery with a cache of unknown masterworks. Thus begins a story of art world greed, willfulness and a high-stakes con."""
Movie;Magnolia;Paul Thomas Anderson;"""John C. Reilly, Philip Baker Hall, Tom Cruise, Julianne Moore, Philip Seymour Hoffman, William H. Macy, Jeremy Blackman, Jason Robards, Melinda Dillon, April Grace, Luis Guzmán, Ricky Jay, Alfred Molina, Michael Murphy, Melora Walters""";United States;"""August 1, 2021""";1999;R;189 min;"""Dramas, Independent Movies""";"""Through chance, history and divine intervention, a cast of eclectic characters weaves and warps through each other's lives on a random day in California."""
Movie;Malcolm & Marie;Sam Levinson;"""Zendaya, John David Washington""";United States;"""February 5, 2021""";2021;R;106 min;"""Dramas, Independent Movies""";"""As a filmmaker and his girlfriend return home from his movie premiere, smoldering tensions and painful revelations push them toward a romantic reckoning."""
Movie;Mandela: Long Walk to Freedom;Justin Chadwick;"""Idris Elba, Naomie Harris, Tony Kgoroge, Riaad Moosa, Zolani Mkiva, Simo Mogwaza, Fana Mokoena, Thapelo Mokoena, Jamie Bartlett, Deon Lotz, Terry Pheto, Mark Elderkin""";"""United Kingdom, South Africa, France""";"""March 29, 2021""";2013;PG-13;141 min;"""Dramas, International Movies""";This in-depth biopic portrays groundbreaking South African leader Nelson Mandela's fight against political oppression and virulent racism.
Movie;Memoirs of a Geisha;Rob Marshall;"""Zhang Ziyi, Ken Watanabe, Koji Yakusho, Michelle Yeoh, Kaori Momoi, Youki Kudoh, Gong Li, Cary-Hiroyuki Tagawa, Mako Iwamatsu, Navia Nguyen, Karl Yune""";"""France, Japan, United States""";"""July 1, 2021""";2005;PG-13;145 min;"""Dramas, Romantic Movies""";"""Sold to a geisha house as a child, a fisherman’s daughter becomes the most sought-after geisha in Kyoto, but rivalries threaten the destiny she desires."""
Movie;Middle of Nowhere;Ava DuVernay;"""Emayatzy Corinealdi, David Oyelowo, Omari Hardwick, Lorraine Toussaint, Edwina Findley Dickerson, Sharon Lawrence, Nehemiah Sutton, Troy Curvey III, Maya Gilbert, Dondre T. Whitfield""";United States;"""February 11, 2021""";2012;R;102 min;"""Dramas, Independent Movies, Romantic Movies""";"""After her husband is sent to prison for eight years, medical student Ruby shelves her studies to focus on her partner's welfare as he serves his time."""
Movie;Midnight Sun;Scott Speer;"""Bella Thorne, Patrick Schwarzenegger, Rob Riggle, Quinn Shephard, Suleka Mathew, Tiera Skovbye, Ken Tremblett, Norm Misura, Austin Obiajunwa, Nicholas Coombe""";United States;"""July 8, 2021""";2018;PG-13;91 min;"""Dramas, Romantic Movies""";"""Born with a fatal sensitivity to sunlight, a sheltered teen girl falls for her neighbor, but hides her condition from him as their romance blossoms."""
Movie;Million Dollar Baby;Clint Eastwood;"""Clint Eastwood, Hilary Swank, Morgan Freeman, Anthony Mackie, Jay Baruchel, Mike Colter, Lucia Rijker, Brían F. O'Byrne, Margo Martindale, Riki Lindhome""";United States;"""June 2, 2021""";2004;PG-13;133 min;"""Dramas, Sports Movies""";"""When a cantankerous trainer mentors a persistent amateur boxer determined to go pro, deep-seated emotions become their strongest opponents."""
TV Show;Shadow and Bone;null;"""Jessie Mei Li, Archie Renaux, Ben Barnes, Freddy Carter, Amita Suman, Kit Young, Danielle Galligan, Calahan Skogman, Sujaya Dasgupta, Simon Sears, Daisy Head, Zoë Wanamaker, Luke Pasqualino, Julian Kostov""";United States;"""April 23, 2021""";2021;TV-14;1 Season;"""TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy""";Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.
Movie;Misha and the Wolves;Sam Hobkinson;null;"""Belgium, United Kingdom""";"""August 11, 2021""";2021;PG-13;90 min;"""Documentaries, International Movies""";"""As a little girl, she escaped the Holocaust and lived among wolves. Or did she? An extraordinary story elicits sympathy — then draws scrutiny."""
TV Show;Life in Color with David Attenborough;null;David Attenborough;"""Australia, United Kingdom""";"""April 22, 2021""";2021;TV-PG;1 Season;"""British TV Shows, Docuseries, International TV Shows""";"""Using innovative technology, this docuseries explores nature from a fresh perspective as animals use color to survive and thrive in the wild."""
TV Show;Zero;null;"""Giuseppe Dave Seke, Haroun Fall, Beatrice Grannò, Dylan Magon, Daniela Scattolin, Madior Fall, Virgina Diop""";Italy;"""April 21, 2021""";2021;TV-MA;1 Season;"""International TV Shows, TV Comedies, TV Dramas""";"""A shy teen with the power to turn invisible must get it under control to help defend his neighborhood, putting aside the pursuit of his artistic dream."""
Movie;Monster Hunter: Legends of the Guild;Steven Yamamoto;"""Ben Rausch, Erica Lindbeck, Dante Basco, Brando Eaton, Stephen Kramer Glickman, Caroline Caliston, G.K. Bowes, Dan McCoy""";"""United States, Japan""";"""August 12, 2021""";2021;TV-PG;59 min;"""Action & Adventure, Anime Features, Children & Family Movies""";"""In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon."""
Movie;Mortal Kombat;Paul W.S. Anderson;"""Christophe Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa, Bridgette Wilson-Sampras, Talisa Soto, Trevor Goddard, Chris Casamassa, François Petit, Keith Cooke""";United States;"""July 1, 2021""";1995;PG-13;101 min;"""Action & Adventure, Sci-Fi & Fantasy""";Three fighters travel to the mystical realm of Outworld to test their might in a tournament against an evil demon with plans to take over the world.
Movie;Mother's Day;Garry Marshall;"""Jennifer Aniston, Kate Hudson, Julia Roberts, Jason Sudeikis, Britt Robertson, Timothy Olyphant, Margo Martindale, Shay Mitchell, Jack Whitehall, Hector Elizondo, Jon Lovitz, Larry Miller, Cameron Esposito, Aasif Mandvi, Jennifer Garner, Sarah Chalke""";United States;"""July 1, 2021""";2016;PG-13;118 min;"""Comedies, Dramas""";The trials and tribulations of several Atlanta moms (and one clueless widower dad) make it a Mother's Day to remember in this ensemble comedy.
Movie;My Amnesia Girl;Cathy Garcia-Molina;"""John Lloyd Cruz, Toni Gonzaga, Carlos Agassi, Ketchup Eusebio, Joross Gamboa, JM de Guzman, Beatriz Saw, Nico Antonio""";Philippines;"""November 19, 2020""";2010;TV-14;105 min;"""International Movies, Romantic Movies""";"""Years after leaving his bride-to-be at the altar, a man crosses paths with his ex and tries to make up for the past, only to find he's been forgotten."""
Movie;My Fair Lady;George Cukor;"""Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfred Hyde-White, Gladys Cooper, Jeremy Brett, Theodore Bikel, Mona Washbourne, Isobel Elsom, John Holland, Alan Napier, Marni Nixon""";United States;"""April 1, 2021""";1964;G;173 min;"""Classic Movies, Music & Musicals""";"""When a Cockney flower girl takes elocution lessons from an aloof professor, he decides to introduce her to high society, transforming both their lives."""
TV Show;Durarara!!;null;"""Toshiyuki Toyonaga, Miyuki Sawashiro, Mamoru Miyano, Kana Hanazawa, Hiroshi Kamiya, Daisuke Ono, Jun Fukuyama, Yuichi Nakamura, Yuki Kaji, Ayahi Takagaki, Kazuma Horie, Sanae Kobayashi, Takaya Kuroda, Kari Wahlgren, Darrel Guilbeau, Bryce Papenbrook, Michelle Ruff, Johnny Yong Bosch, Crispin Freeman, Yuri Lowenthal, Steve Blum""";Japan;"""April 15, 2021""";2016;TV-MA;1 Season;"""Anime Series, Crime TV Shows, International TV Shows""";"""A young man looking for excitement moves to Ikebukuro, a district in Tokyo, where he finds a world of mystery in which the past and present mesh."""
TV Show;Gilmore Girls;null;"""Lauren Graham, Alexis Bledel, Scott Patterson, Keiko Agena, Yanic Truesdale, Kelly Bishop, Edward Herrmann, Melissa McCarthy, Sean Gunn, Liza Weil, Liz Torres, Jared Padalecki""";United States;"""April 15, 2021""";2006;TV-14;7 Seasons;"""Romantic TV Shows, TV Comedies, TV Dramas""";"""Fiercely independent single mom Lorelai raises gifted, Ivy League-bound daughter Rory amid a continual stream of quick-witted repartee."""
TV Show;High-Rise Invasion;null;"""Haruka Shiraishi, Shiki Aoki, Akira Sekine, Junya Enoki, Yuuichirou Umehara, Megumi Ogata, Shoya Chiba, Makoto Furukawa, Seiro Ogino, Koji Yusa, Chika Anzai, Asami Seto, Shizuka Ito, Juri Kimura, Kaito Ishikawa, Yoko Hikasa, Jun Fukuyama""";Japan;"""April 15, 2021""";2021;TV-MA;1 Season;"""Anime Series, International TV Shows, TV Thrillers""";"""High schooler Yuri finds herself atop a skyscraper in a strange world, where she must survive against masked assailants bent on killing their prey."""
TV Show;Ricky Zoom;null;"""Max Fincham, Twinkle Jaiswal, Bradley Bissett, Dylan Naden, Adam Longworth, Ashton Frank, Edward Moloney, Esther Coles, Jess Robinson, Miranda Pointer, Osian Thompson, Simon Lipkin, Richard David-Caine""";"""China, United Kingdom""";"""April 15, 2021""";2019;TV-Y;1 Season;"""British TV Shows, Kids' TV""";Race along with Ricky Zoom and his loyal Bike Buddies as they zip around their two-wheeled town of Wheelford on rescue missions and learn speedy stunts!
TV Show;Sonic X;null;"""Junichi Kanemaru, Sanae Kobayashi, Ryo Hirohashi, Taeko Kawata, Nobutoshi Canna, Koji Yusa, Rumi Ochiai, Sayaka Aoki, Chikao Otsuka""";Japan;"""April 15, 2021""";2003;TV-Y7;2 Seasons;"""Anime Series, Kids' TV""";"""A mission gone awry transports Sonic the Hedgehog, his friends, Dr. Eggman and the Chaos Emeralds to another dimension: Earth."""
TV Show;Fate: The Winx Saga;null;"""Abigail Cowen, Hannah Van Der Westhuysen, Precious Mustapha, Eliot Salt, Elisha Applebaum, Danny Griffin, Sadie Soverall, Freddie Thorp, Rob James-Collier, Eve Best, Lesley Sharp""";"""Italy, United Kingdom""";"""April 14, 2021""";2021;TV-MA;1 Season;"""British TV Shows, International TV Shows, TV Dramas""";"""Determined to master their enchanting powers, a group of teens navigate rivalry, romance and supernatural studies at Alfea, a magical boarding school."""
TV Show;House of Cards;null;"""Kevin Spacey, Robin Wright, Kate Mara, Corey Stoll, Sakina Jaffrey, Kristen Connolly, Constance Zimmer, Sebastian Arcelus, Nathan Darrow, Sandrine Holt, Michel Gill, Elizabeth Norment, Mahershala Ali, Reg E. Cathey, Molly Parker, Derek Cecil, Elizabeth Marvel, Kim Dickens, Lars Mikkelsen, Michael Kelly, Joel Kinnaman, Campbell Scott, Patricia Clarkson, Neve Campbell""";United States;"""April 14, 2021""";2018;TV-MA;6 Seasons;"""TV Dramas, TV Thrillers""";"""A ruthless politician will stop at nothing to conquer Washington, D.C., in this Emmy and Golden Globe-winning political drama."""
TV Show;Indian Matchmaking;null;null;"""United States, India""";"""April 14, 2021""";2020;TV-14;1 Season;"""Reality TV, Romantic TV Shows""";"""Matchmaker Sima Taparia guides clients in the U.S. and India in the arranged marriage process, offering an inside look at the custom in a modern era."""
TV Show;Jeffrey Epstein: Filthy Rich;null;null;United States;"""April 14, 2021""";2020;TV-MA;1 Season;"""Crime TV Shows, Docuseries""";Stories from survivors fuel this docuseries examining how convicted sex offender Jeffrey Epstein used his wealth and power to carry out his abuses.
TV Show;Living with Yourself;null;"""Paul Rudd, Aisling Bea, Desmin Borges, Zoë Chao, Karen Pittman""";United States;"""April 14, 2021""";2019;TV-MA;1 Season;"""TV Comedies, TV Dramas""";"""Burned out on life, Miles undergoes a strange procedure at a strip mall spa – and wakes to find he's been replaced by a better version of himself."""
TV Show;Slasher;null;"""Katie McGrath, Brandon Jay McLaren, Steve Byers, Patrick Garrow, Dean McDermott, Christopher Jacot, Wendy Crewson, Leslie Hope, Lovell Adams-Gray, Jim Watson, Paulino Nunes, Ty Olsson, Joanne Vannicola, Sebastian Pigott, Madison Cheeatow, Melinda Shankar, Kaitlyn Leeb, Rebecca Liddiard, Paula Brancati, Salvatore Antonio, Lisa Berry, Gabriel Darku, Erin Karpluk, Mercedes Morris, Ilan Muallem, Baraka Rahmani, Rosie Simon, Robert Cormier""";Canada;"""April 14, 2021""";2019;TV-MA;3 Seasons;"""TV Horror, TV Mysteries, TV Thrillers""";Rampaging serial killers leave carnage in their wake as their next victims fight to stay alive in this horror anthology series.
TV Show;Unnatural Selection;null;null;United States;"""April 14, 2021""";2019;TV-MA;1 Season;"""Docuseries, Science & Nature TV""";"""From eradicating disease to selecting a child’s traits, gene editing gives humans the chance to hack biology. Meet the real people behind the science."""
Movie;Naruto the Movie: Ninja Clash in the Land of Snow;Tensai Okamura;"""Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Yuhko Kaida, Tsutomu Isobe, Hirotaka Suzuoki, Jun Karasawa, Harii Kaneko, Ikuo Nishikawa""";Japan;"""September 15, 2021""";2004;TV-PG;83 min;"""Action & Adventure, Anime Features, International Movies""";"""Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."""
TV Show;"""Nicky, Ricky, Dicky & Dawn""";null;"""Brian Stepanek, Allison Munn, Aidan Gallagher, Casey Simpson, Mace Coronel, Lizzy Greene""";United States;"""April 12, 2021""";2018;TV-G;4 Seasons;"""Kids' TV, TV Comedies""";"""Just because they're quadruplets, that doesn't mean these 10-year-olds always get along. But for all the bickering, they're loyal to the last."""
Movie;Nobody Sleeps in the Woods Tonight;Bartosz M. Kowalski;"""Julia Wieniawa-Narkiewicz, Michał Lupa, Wiktoria Gąsiewska, Stanisław Cywka, Sebastian Dela, Gabriela Muskała, Michał Zbroja, Mirosław Zbrojewicz, Piotr Cyrwus, Olaf Lubaszenko, Wojciech Mecwaldowski""";Poland;"""October 28, 2020""";2020;TV-MA;103 min;"""Horror Movies, International Movies""";"""Addicted to technology, a group of teens attends a rehabilitation camp in the forest, but a sinister force there intends to take them offline forever."""
